Function:Complex
ANN Hyperparameters: activation function Cosine, layer arch [2, 10, 8, 1]
epoch:003 ,particle:15, par err:0.2946, best part err:0.2946, best swarm err:0.1208
epoch:003 ,particle:16, par err:0.2751, best part err:0.2751, best swarm err:0.1208
epoch:003 ,particle:17, par err:0.7374, best part err:0.7374, best swarm err:0.1208
epoch:003 ,particle:18, par err:0.7245, best part err:0.1233, best swarm err:0.1208
epoch:003 ,particle:19, par err:0.3945, best part err:0.3945, best swarm err:0.1208
epoch:003 ,particle:20, par err:0.5704, best part err:0.5704, best swarm err:0.1208
epoch:003 ,particle:21, par err:0.2539, best part err:0.2539, best swarm err:0.1208
epoch:003 ,particle:22, par err:0.1758, best part err:0.1228, best swarm err:0.1208
epoch:003 ,particle:23, par err:0.4125, best part err:0.1694, best swarm err:0.1208
epoch:003 ,particle:24, par err:0.7454, best part err:0.7454, best swarm err:0.1208
epoch:003 ,particle:25, par err:0.3535, best part err:0.1267, best swarm err:0.1208
epoch:003 ,particle:26, par err:0.7760, best part err:0.5066, best swarm err:0.1208
epoch:003 ,particle:27, par err:0.7867, best part err:0.4381, best swarm err:0.1208
epoch:003 ,particle:28, par err:0.1832, best part err:0.1832, best swarm err:0.1208
epoch:003 ,particle:29, par err:0.3322, best part err:0.3322, best swarm err:0.1208
epoch:003 ,particle:30, par err:0.7336, best part err:0.1252, best swarm err:0.1208

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.3337, best part err:0.3337, best swarm err:0.1132
epoch:004 ,particle:02, par err:0.6445, best part err:0.2342, best swarm err:0.1132
epoch:004 ,particle:03, par err:0.3980, best part err:0.3980, best swarm err:0.1132
epoch:004 ,particle:04, par err:0.4555, best part err:0.4555, best swarm err:0.1132
epoch:004 ,particle:05, par err:0.3646, best part err:0.2626, best swarm err:0.1132
epoch:004 ,particle:06, par err:0.9355, best part err:0.4488, best swarm err:0.1132
epoch:004 ,particle:07, par err:0.7600, best part err:0.2354, best swarm err:0.1132
epoch:004 ,particle:08, par err:0.7149, best part err:0.1208, best swarm err:0.1132
epoch:004 ,particle:09, par err:0.1442, best part err:0.1442, best swarm err:0.1132
epoch:004 ,particle:10, par err:0.3523, best part err:0.2069, best swarm err:0.1132
epoch:004 ,particle:11, par err:0.2623, best part err:0.2623, best swarm err:0.1132
epoch:004 ,particle:12, par err:0.4958, best part err:0.4958, best swarm err:0.1132
epoch:004 ,particle:13, par err:0.6127, best part err:0.4630, best swarm err:0.1132
epoch:004 ,particle:14, par err:0.3070, best part err:0.2018, best swarm err:0.1132
epoch:004 ,particle:15, par err:0.3083, best part err:0.2946, best swarm err:0.1132
epoch:004 ,particle:16, par err:0.2551, best part err:0.2551, best swarm err:0.1132
epoch:004 ,particle:17, par err:0.2805, best part err:0.2805, best swarm err:0.1132
epoch:004 ,particle:18, par err:0.3531, best part err:0.1233, best swarm err:0.1132
epoch:004 ,particle:19, par err:0.3651, best part err:0.3651, best swarm err:0.1132
epoch:004 ,particle:20, par err:0.4774, best part err:0.4774, best swarm err:0.1132
epoch:004 ,particle:21, par err:0.5321, best part err:0.2539, best swarm err:0.1132
epoch:004 ,particle:22, par err:0.1275, best part err:0.1228, best swarm err:0.1132
epoch:004 ,particle:23, par err:0.1132, best part err:0.1132, best swarm err:0.1132
epoch:004 ,particle:24, par err:0.6353, best part err:0.6353, best swarm err:0.1132
epoch:004 ,particle:25, par err:0.1202, best part err:0.1202, best swarm err:0.1132
epoch:004 ,particle:26, par err:0.2599, best part err:0.2599, best swarm err:0.1132
epoch:004 ,particle:27, par err:0.3403, best part err:0.3403, best swarm err:0.1132
epoch:004 ,particle:28, par err:0.1866, best part err:0.1832, best swarm err:0.1132
epoch:004 ,particle:29, par err:0.5834, best part err:0.3322, best swarm err:0.1132
epoch:004 ,particle:30, par err:0.1603, best part err:0.1252, best swarm err:0.1132

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.3909, best part err:0.3337, best swarm err:0.1132
epoch:005 ,particle:02, par err:0.2664, best part err:0.2342, best swarm err:0.1132
epoch:005 ,particle:03, par err:0.3738, best part err:0.3738, best swarm err:0.1132
epoch:005 ,particle:04, par err:0.7593, best part err:0.4555, best swarm err:0.1132
epoch:005 ,particle:05, par err:0.1429, best part err:0.1429, best swarm err:0.1132
epoch:005 ,particle:06, par err:0.4966, best part err:0.4488, best swarm err:0.1132
epoch:005 ,particle:07, par err:0.2900, best part err:0.2354, best swarm err:0.1132
epoch:005 ,particle:08, par err:0.3716, best part err:0.1208, best swarm err:0.1132
epoch:005 ,particle:09, par err:0.4166, best part err:0.1442, best swarm err:0.1132
epoch:005 ,particle:10, par err:0.3008, best part err:0.2069, best swarm err:0.1132
epoch:005 ,particle:11, par err:0.7359, best part err:0.2623, best swarm err:0.1132
epoch:005 ,particle:12, par err:0.5611, best part err:0.4958, best swarm err:0.1132
epoch:005 ,particle:13, par err:0.2399, best part err:0.2399, best swarm err:0.1132
epoch:005 ,particle:14, par err:0.5937, best part err:0.2018, best swarm err:0.1132
epoch:005 ,particle:15, par err:0.3052, best part err:0.2946, best swarm err:0.1132
epoch:005 ,particle:16, par err:0.7111, best part err:0.2551, best swarm err:0.1132
epoch:005 ,particle:17, par err:0.5498, best part err:0.2805, best swarm err:0.1132
epoch:005 ,particle:18, par err:1.4785, best part err:0.1233, best swarm err:0.1132
epoch:005 ,particle:19, par err:0.6516, best part err:0.3651, best swarm err:0.1132
epoch:005 ,particle:20, par err:0.3954, best part err:0.3954, best swarm err:0.1132
epoch:005 ,particle:21, par err:0.3621, best part err:0.2539, best swarm err:0.1132
epoch:005 ,particle:22, par err:0.1450, best part err:0.1228, best swarm err:0.1132
epoch:005 ,particle:23, par err:0.4527, best part err:0.1132, best swarm err:0.1132
epoch:005 ,particle:24, par err:0.3726, best part err:0.3726, best swarm err:0.1132
epoch:005 ,particle:25, par err:0.5250, best part err:0.1202, best swarm err:0.1132
epoch:005 ,particle:26, par err:0.5798, best part err:0.2599, best swarm err:0.1132
epoch:005 ,particle:27, par err:0.4497, best part err:0.3403, best swarm err:0.1132
epoch:005 ,particle:28, par err:0.3760, best part err:0.1832, best swarm err:0.1132
epoch:005 ,particle:29, par err:0.6819, best part err:0.3322, best swarm err:0.1132
epoch:005 ,particle:30, par err:0.1998, best part err:0.1252, best swarm err:0.1132

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.2331, best part err:0.2331, best swarm err:0.1132
epoch:006 ,particle:02, par err:0.5050, best part err:0.2342, best swarm err:0.1132
epoch:006 ,particle:03, par err:0.6825, best part err:0.3738, best swarm err:0.1132
epoch:006 ,particle:04, par err:0.5781, best part err:0.4555, best swarm err:0.1132
epoch:006 ,particle:05, par err:0.2371, best part err:0.1429, best swarm err:0.1132
epoch:006 ,particle:06, par err:0.8071, best part err:0.4488, best swarm err:0.1132
epoch:006 ,particle:07, par err:0.9139, best part err:0.2354, best swarm err:0.1132
epoch:006 ,particle:08, par err:1.1737, best part err:0.1208, best swarm err:0.1132
epoch:006 ,particle:09, par err:0.1252, best part err:0.1252, best swarm err:0.1132
epoch:006 ,particle:10, par err:1.1013, best part err:0.2069, best swarm err:0.1132
epoch:006 ,particle:11, par err:0.2036, best part err:0.2036, best swarm err:0.1132
epoch:006 ,particle:12, par err:1.3709, best part err:0.4958, best swarm err:0.1132
epoch:006 ,particle:13, par err:0.8934, best part err:0.2399, best swarm err:0.1132
epoch:006 ,particle:14, par err:0.4047, best part err:0.2018, best swarm err:0.1132
epoch:006 ,particle:15, par err:0.8561, best part err:0.2946, best swarm err:0.1132
epoch:006 ,particle:16, par err:1.3246, best part err:0.2551, best swarm err:0.1132
epoch:006 ,particle:17, par err:0.9364, best part err:0.2805, best swarm err:0.1132
epoch:006 ,particle:18, par err:0.2781, best part err:0.1233, best swarm err:0.1132
epoch:006 ,particle:19, par err:0.5151, best part err:0.3651, best swarm err:0.1132
epoch:006 ,particle:20, par err:1.0369, best part err:0.3954, best swarm err:0.1132
epoch:006 ,particle:21, par err:1.0103, best part err:0.2539, best swarm err:0.1132
epoch:006 ,particle:22, par err:0.1275, best part err:0.1228, best swarm err:0.1132
epoch:006 ,particle:23, par err:0.2923, best part err:0.1132, best swarm err:0.1132
epoch:006 ,particle:24, par err:0.6916, best part err:0.3726, best swarm err:0.1132
epoch:006 ,particle:25, par err:0.2725, best part err:0.1202, best swarm err:0.1132
epoch:006 ,particle:26, par err:0.4626, best part err:0.2599, best swarm err:0.1132
epoch:006 ,particle:27, par err:0.2597, best part err:0.2597, best swarm err:0.1132
epoch:006 ,particle:28, par err:1.0782, best part err:0.1832, best swarm err:0.1132
epoch:006 ,particle:29, par err:1.1501, best part err:0.3322, best swarm err:0.1132
epoch:006 ,particle:30, par err:0.1779, best part err:0.1252, best swarm err:0.1132

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:1.1432, best part err:0.2331, best swarm err:0.1132
epoch:007 ,particle:02, par err:0.4376, best part err:0.2342, best swarm err:0.1132
epoch:007 ,particle:03, par err:0.2560, best part err:0.2560, best swarm err:0.1132
epoch:007 ,particle:04, par err:1.0750, best part err:0.4555, best swarm err:0.1132
epoch:007 ,particle:05, par err:0.1239, best part err:0.1239, best swarm err:0.1132
epoch:007 ,particle:06, par err:0.1696, best part err:0.1696, best swarm err:0.1132
epoch:007 ,particle:07, par err:0.3739, best part err:0.2354, best swarm err:0.1132
epoch:007 ,particle:08, par err:1.3014, best part err:0.1208, best swarm err:0.1132
epoch:007 ,particle:09, par err:0.2688, best part err:0.1252, best swarm err:0.1132
epoch:007 ,particle:10, par err:0.7551, best part err:0.2069, best swarm err:0.1132
epoch:007 ,particle:11, par err:0.6850, best part err:0.2036, best swarm err:0.1132
epoch:007 ,particle:12, par err:0.1632, best part err:0.1632, best swarm err:0.1132
epoch:007 ,particle:13, par err:0.5461, best part err:0.2399, best swarm err:0.1132
