Function:Linear
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 7, 1]
epoch:005 ,particle:14, par err:0.2959, best part err:0.0062, best swarm err:0.0037
epoch:005 ,particle:15, par err:0.2740, best part err:0.0065, best swarm err:0.0037

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.0759, best part err:0.0463, best swarm err:0.0037
epoch:006 ,particle:02, par err:0.0303, best part err:0.0051, best swarm err:0.0037
epoch:006 ,particle:03, par err:0.0746, best part err:0.0071, best swarm err:0.0037
epoch:006 ,particle:04, par err:0.0683, best part err:0.0066, best swarm err:0.0037
epoch:006 ,particle:05, par err:0.1176, best part err:0.0151, best swarm err:0.0037
epoch:006 ,particle:06, par err:0.0884, best part err:0.0149, best swarm err:0.0037
epoch:006 ,particle:07, par err:0.0396, best part err:0.0037, best swarm err:0.0037
epoch:006 ,particle:08, par err:0.0900, best part err:0.0141, best swarm err:0.0037
epoch:006 ,particle:09, par err:0.1141, best part err:0.0116, best swarm err:0.0037
epoch:006 ,particle:10, par err:0.0946, best part err:0.0058, best swarm err:0.0037
epoch:006 ,particle:11, par err:0.0730, best part err:0.0086, best swarm err:0.0037
epoch:006 ,particle:12, par err:0.0785, best part err:0.0068, best swarm err:0.0037
epoch:006 ,particle:13, par err:0.0933, best part err:0.0127, best swarm err:0.0037
epoch:006 ,particle:14, par err:0.0783, best part err:0.0062, best swarm err:0.0037
epoch:006 ,particle:15, par err:0.0711, best part err:0.0065, best swarm err:0.0037

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.0293, best part err:0.0293, best swarm err:0.0037
epoch:007 ,particle:02, par err:0.0270, best part err:0.0051, best swarm err:0.0037
epoch:007 ,particle:03, par err:0.0281, best part err:0.0071, best swarm err:0.0037
epoch:007 ,particle:04, par err:0.0272, best part err:0.0066, best swarm err:0.0037
epoch:007 ,particle:05, par err:0.0227, best part err:0.0151, best swarm err:0.0037
epoch:007 ,particle:06, par err:0.0246, best part err:0.0149, best swarm err:0.0037
epoch:007 ,particle:07, par err:0.1051, best part err:0.0037, best swarm err:0.0037
epoch:007 ,particle:08, par err:0.0281, best part err:0.0141, best swarm err:0.0037
epoch:007 ,particle:09, par err:0.0274, best part err:0.0116, best swarm err:0.0037
epoch:007 ,particle:10, par err:0.0214, best part err:0.0058, best swarm err:0.0037
epoch:007 ,particle:11, par err:0.0250, best part err:0.0086, best swarm err:0.0037
epoch:007 ,particle:12, par err:0.0246, best part err:0.0068, best swarm err:0.0037
epoch:007 ,particle:13, par err:0.0235, best part err:0.0127, best swarm err:0.0037
epoch:007 ,particle:14, par err:0.0276, best part err:0.0062, best swarm err:0.0037
epoch:007 ,particle:15, par err:0.0238, best part err:0.0065, best swarm err:0.0037

-------------------------------------------------------------------------------------
epoch:008 ,particle:01, par err:0.0725, best part err:0.0293, best swarm err:0.0037
epoch:008 ,particle:02, par err:0.0662, best part err:0.0051, best swarm err:0.0037
epoch:008 ,particle:03, par err:0.1003, best part err:0.0071, best swarm err:0.0037
epoch:008 ,particle:04, par err:0.0126, best part err:0.0066, best swarm err:0.0037
epoch:008 ,particle:05, par err:0.2532, best part err:0.0151, best swarm err:0.0037
epoch:008 ,particle:06, par err:0.0181, best part err:0.0149, best swarm err:0.0037
epoch:008 ,particle:07, par err:0.0290, best part err:0.0037, best swarm err:0.0037
epoch:008 ,particle:08, par err:0.0547, best part err:0.0141, best swarm err:0.0037
epoch:008 ,particle:09, par err:0.0214, best part err:0.0116, best swarm err:0.0037
epoch:008 ,particle:10, par err:0.0700, best part err:0.0058, best swarm err:0.0037
epoch:008 ,particle:11, par err:0.2374, best part err:0.0086, best swarm err:0.0037
epoch:008 ,particle:12, par err:0.3402, best part err:0.0068, best swarm err:0.0037
epoch:008 ,particle:13, par err:0.1338, best part err:0.0127, best swarm err:0.0037
epoch:008 ,particle:14, par err:0.1700, best part err:0.0062, best swarm err:0.0037
epoch:008 ,particle:15, par err:0.2332, best part err:0.0065, best swarm err:0.0037

-------------------------------------------------------------------------------------
epoch:009 ,particle:01, par err:0.0957, best part err:0.0293, best swarm err:0.0037
epoch:009 ,particle:02, par err:0.0616, best part err:0.0051, best swarm err:0.0037
epoch:009 ,particle:03, par err:0.0936, best part err:0.0071, best swarm err:0.0037
epoch:009 ,particle:04, par err:0.0707, best part err:0.0066, best swarm err:0.0037
epoch:009 ,particle:05, par err:0.1200, best part err:0.0151, best swarm err:0.0037
epoch:009 ,particle:06, par err:0.0875, best part err:0.0149, best swarm err:0.0037
epoch:009 ,particle:07, par err:0.0056, best part err:0.0037, best swarm err:0.0037
epoch:009 ,particle:08, par err:0.0878, best part err:0.0141, best swarm err:0.0037
epoch:009 ,particle:09, par err:0.1122, best part err:0.0116, best swarm err:0.0037
epoch:009 ,particle:10, par err:0.1163, best part err:0.0058, best swarm err:0.0037
epoch:009 ,particle:11, par err:0.0864, best part err:0.0086, best swarm err:0.0037
epoch:009 ,particle:12, par err:0.1098, best part err:0.0068, best swarm err:0.0037
epoch:009 ,particle:13, par err:0.1049, best part err:0.0127, best swarm err:0.0037
epoch:009 ,particle:14, par err:0.0980, best part err:0.0062, best swarm err:0.0037
epoch:009 ,particle:15, par err:0.1076, best part err:0.0065, best swarm err:0.0037

-------------------------------------------------------------------------------------
epoch:010 ,particle:01, par err:0.1536, best part err:0.0293, best swarm err:0.0037
epoch:010 ,particle:02, par err:0.1193, best part err:0.0051, best swarm err:0.0037
epoch:010 ,particle:03, par err:0.1091, best part err:0.0071, best swarm err:0.0037
epoch:010 ,particle:04, par err:0.1269, best part err:0.0066, best swarm err:0.0037
epoch:010 ,particle:05, par err:0.0907, best part err:0.0151, best swarm err:0.0037
epoch:010 ,particle:06, par err:0.0994, best part err:0.0149, best swarm err:0.0037
epoch:010 ,particle:07, par err:0.0461, best part err:0.0037, best swarm err:0.0037
epoch:010 ,particle:08, par err:0.0806, best part err:0.0141, best swarm err:0.0037
epoch:010 ,particle:09, par err:0.0957, best part err:0.0116, best swarm err:0.0037
epoch:010 ,particle:10, par err:0.1507, best part err:0.0058, best swarm err:0.0037
epoch:010 ,particle:11, par err:0.0933, best part err:0.0086, best swarm err:0.0037
epoch:010 ,particle:12, par err:0.1095, best part err:0.0068, best swarm err:0.0037
epoch:010 ,particle:13, par err:0.1036, best part err:0.0127, best swarm err:0.0037
epoch:010 ,particle:14, par err:0.0918, best part err:0.0062, best swarm err:0.0037
epoch:010 ,particle:15, par err:0.1277, best part err:0.0065, best swarm err:0.0037

-------------------------------------------------------------------------------------
epoch:011 ,particle:01, par err:0.0034, best part err:0.0034, best swarm err:0.0034
epoch:011 ,particle:02, par err:0.0122, best part err:0.0051, best swarm err:0.0034
epoch:011 ,particle:03, par err:0.0230, best part err:0.0071, best swarm err:0.0034
epoch:011 ,particle:04, par err:0.0200, best part err:0.0066, best swarm err:0.0034
epoch:011 ,particle:05, par err:0.0081, best part err:0.0081, best swarm err:0.0034
epoch:011 ,particle:06, par err:0.0244, best part err:0.0149, best swarm err:0.0034
epoch:011 ,particle:07, par err:0.0415, best part err:0.0037, best swarm err:0.0034
epoch:011 ,particle:08, par err:0.0159, best part err:0.0141, best swarm err:0.0034
epoch:011 ,particle:09, par err:0.0222, best part err:0.0116, best swarm err:0.0034
epoch:011 ,particle:10, par err:0.0075, best part err:0.0058, best swarm err:0.0034
epoch:011 ,particle:11, par err:0.0190, best part err:0.0086, best swarm err:0.0034
epoch:011 ,particle:12, par err:0.0502, best part err:0.0068, best swarm err:0.0034
epoch:011 ,particle:13, par err:0.0132, best part err:0.0127, best swarm err:0.0034
epoch:011 ,particle:14, par err:0.0187, best part err:0.0062, best swarm err:0.0034
epoch:011 ,particle:15, par err:0.0685, best part err:0.0065, best swarm err:0.0034

-------------------------------------------------------------------------------------
epoch:012 ,particle:01, par err:0.0098, best part err:0.0034, best swarm err:0.0018
epoch:012 ,particle:02, par err:0.0170, best part err:0.0051, best swarm err:0.0018
epoch:012 ,particle:03, par err:0.0227, best part err:0.0071, best swarm err:0.0018
epoch:012 ,particle:04, par err:0.0162, best part err:0.0066, best swarm err:0.0018
epoch:012 ,particle:05, par err:0.0018, best part err:0.0018, best swarm err:0.0018
epoch:012 ,particle:06, par err:0.0220, best part err:0.0149, best swarm err:0.0018
epoch:012 ,particle:07, par err:0.0332, best part err:0.0037, best swarm err:0.0018
epoch:012 ,particle:08, par err:0.0159, best part err:0.0141, best swarm err:0.0018
epoch:012 ,particle:09, par err:0.0277, best part err:0.0116, best swarm err:0.0018
epoch:012 ,particle:10, par err:0.0445, best part err:0.0058, best swarm err:0.0018
epoch:012 ,particle:11, par err:0.0204, best part err:0.0086, best swarm err:0.0018
epoch:012 ,particle:12, par err:0.0340, best part err:0.0068, best swarm err:0.0018
epoch:012 ,particle:13, par err:0.0295, best part err:0.0127, best swarm err:0.0018
epoch:012 ,particle:14, par err:0.0227, best part err:0.0062, best swarm err:0.0018
epoch:012 ,particle:15, par err:0.0361, best part err:0.0065, best swarm err:0.0018

-------------------------------------------------------------------------------------
epoch:013 ,particle:01, par err:0.0054, best part err:0.0034, best swarm err:0.0018
epoch:013 ,particle:02, par err:0.0092, best part err:0.0051, best swarm err:0.0018
epoch:013 ,particle:03, par err:0.1929, best part err:0.0071, best swarm err:0.0018
epoch:013 ,particle:04, par err:0.0219, best part err:0.0066, best swarm err:0.0018
epoch:013 ,particle:05, par err:0.0422, best part err:0.0018, best swarm err:0.0018
epoch:013 ,particle:06, par err:0.0170, best part err:0.0149, best swarm err:0.0018
epoch:013 ,particle:07, par err:0.0076, best part err:0.0037, best swarm err:0.0018
epoch:013 ,particle:08, par err:0.0059, best part err:0.0059, best swarm err:0.0018
epoch:013 ,particle:09, par err:0.0198, best part err:0.0116, best swarm err:0.0018
epoch:013 ,particle:10, par err:0.0630, best part err:0.0058, best swarm err:0.0018
epoch:013 ,particle:11, par err:0.0411, best part err:0.0086, best swarm err:0.0018
epoch:013 ,particle:12, par err:0.2560, best part err:0.0068, best swarm err:0.0018
epoch:013 ,particle:13, par err:0.1044, best part err:0.0127, best swarm err:0.0018
epoch:013 ,particle:14, par err:0.1678, best part err:0.0062, best swarm err:0.0018
epoch:013 ,particle:15, par err:0.4592, best part err:0.0065, best swarm err:0.0018

-------------------------------------------------------------------------------------
epoch:014 ,particle:01, par err:0.0055, best part err:0.0034, best swarm err:0.0018
epoch:014 ,particle:02, par err:0.0044, best part err:0.0044, best swarm err:0.0018
epoch:014 ,particle:03, par err:0.0140, best part err:0.0071, best swarm err:0.0018
epoch:014 ,particle:04, par err:0.0184, best part err:0.0066, best swarm err:0.0018
epoch:014 ,particle:05, par err:0.0072, best part err:0.0018, best swarm err:0.0018
epoch:014 ,particle:06, par err:0.0284, best part err:0.0149, best swarm err:0.0018
epoch:014 ,particle:07, par err:0.0167, best part err:0.0037, best swarm err:0.0018
epoch:014 ,particle:08, par err:1.0015, best part err:0.0059, best swarm err:0.0018
epoch:014 ,particle:09, par err:0.0311, best part err:0.0116, best swarm err:0.0018
epoch:014 ,particle:10, par err:0.0220, best part err:0.0058, best swarm err:0.0018
epoch:014 ,particle:11, par err:0.0190, best part err:0.0086, best swarm err:0.0018
epoch:014 ,particle:12, par err:0.0109, best part err:0.0068, best swarm err:0.0018
epoch:014 ,particle:13, par err:0.0249, best part err:0.0127, best swarm err:0.0018
epoch:014 ,particle:14, par err:0.0146, best part err:0.0062, best swarm err:0.0018
epoch:014 ,particle:15, par err:0.0097, best part err:0.0065, best swarm err:0.0018

-------------------------------------------------------------------------------------
epoch:015 ,particle:01, par err:0.0016, best part err:0.0016, best swarm err:0.0016
epoch:015 ,particle:02, par err:0.0165, best part err:0.0044, best swarm err:0.0016
epoch:015 ,particle:03, par err:0.0350, best part err:0.0071, best swarm err:0.0016
epoch:015 ,particle:04, par err:0.0331, best part err:0.0066, best swarm err:0.0016
epoch:015 ,particle:05, par err:0.0236, best part err:0.0018, best swarm err:0.0016
epoch:015 ,particle:06, par err:0.0390, best part err:0.0149, best swarm err:0.0016
epoch:015 ,particle:07, par err:0.0248, best part err:0.0037, best swarm err:0.0016
epoch:015 ,particle:08, par err:0.0070, best part err:0.0059, best swarm err:0.0016
epoch:015 ,particle:09, par err:0.0431, best part err:0.0116, best swarm err:0.0016
epoch:015 ,particle:10, par err:0.0420, best part err:0.0058, best swarm err:0.0016
epoch:015 ,particle:11, par err:0.0368, best part err:0.0086, best swarm err:0.0016
epoch:015 ,particle:12, par err:0.0385, best part err:0.0068, best swarm err:0.0016
epoch:015 ,particle:13, par err:0.0410, best part err:0.0127, best swarm err:0.0016
epoch:015 ,particle:14, par err:0.0367, best part err:0.0062, best swarm err:0.0016
epoch:015 ,particle:15, par err:0.0368, best part err:0.0065, best swarm err:0.0016

-------------------------------------------------------------------------------------
epoch:016 ,particle:01, par err:0.0064, best part err:0.0016, best swarm err:0.0012
epoch:016 ,particle:02, par err:0.0107, best part err:0.0044, best swarm err:0.0012
epoch:016 ,particle:03, par err:0.1521, best part err:0.0071, best swarm err:0.0012
epoch:016 ,particle:04, par err:0.0185, best part err:0.0066, best swarm err:0.0012
epoch:016 ,particle:05, par err:0.0012, best part err:0.0012, best swarm err:0.0012
epoch:016 ,particle:06, par err:0.0176, best part err:0.0149, best swarm err:0.0012
epoch:016 ,particle:07, par err:0.0059, best part err:0.0037, best swarm err:0.0012
epoch:016 ,particle:08, par err:0.6479, best part err:0.0059, best swarm err:0.0012
epoch:016 ,particle:09, par err:0.0144, best part err:0.0116, best swarm err:0.0012
epoch:016 ,particle:10, par err:0.0448, best part err:0.0058, best swarm err:0.0012
epoch:016 ,particle:11, par err:0.0755, best part err:0.0086, best swarm err:0.0012
epoch:016 ,particle:12, par err:0.2556, best part err:0.0068, best swarm err:0.0012
epoch:016 ,particle:13, par err:0.0949, best part err:0.0127, best swarm err:0.0012
epoch:016 ,particle:14, par err:0.1484, best part err:0.0062, best swarm err:0.0012
epoch:016 ,particle:15, par err:0.3563, best part err:0.0065, best swarm err:0.0012

-------------------------------------------------------------------------------------
epoch:017 ,particle:01, par err:0.0071, best part err:0.0016, best swarm err:0.0012
epoch:017 ,particle:02, par err:0.0093, best part err:0.0044, best swarm err:0.0012
epoch:017 ,particle:03, par err:0.0168, best part err:0.0071, best swarm err:0.0012
epoch:017 ,particle:04, par err:0.0155, best part err:0.0066, best swarm err:0.0012
epoch:017 ,particle:05, par err:0.0069, best part err:0.0012, best swarm err:0.0012
epoch:017 ,particle:06, par err:0.0262, best part err:0.0149, best swarm err:0.0012
epoch:017 ,particle:07, par err:0.0034, best part err:0.0034, best swarm err:0.0012
epoch:017 ,particle:08, par err:0.0093, best part err:0.0059, best swarm err:0.0012
epoch:017 ,particle:09, par err:0.0286, best part err:0.0116, best swarm err:0.0012
epoch:017 ,particle:10, par err:0.0325, best part err:0.0058, best swarm err:0.0012
epoch:017 ,particle:11, par err:0.0235, best part err:0.0086, best swarm err:0.0012
epoch:017 ,particle:12, par err:0.0229, best part err:0.0068, best swarm err:0.0012
epoch:017 ,particle:13, par err:0.0295, best part err:0.0127, best swarm err:0.0012
epoch:017 ,particle:14, par err:0.0192, best part err:0.0062, best swarm err:0.0012
epoch:017 ,particle:15, par err:0.0209, best part err:0.0065, best swarm err:0.0012

-------------------------------------------------------------------------------------
epoch:018 ,particle:01, par err:0.0046, best part err:0.0016, best swarm err:0.0012
epoch:018 ,particle:02, par err:0.0041, best part err:0.0041, best swarm err:0.0012
epoch:018 ,particle:03, par err:0.0146, best part err:0.0071, best swarm err:0.0012
epoch:018 ,particle:04, par err:0.0346, best part err:0.0066, best swarm err:0.0012
epoch:018 ,particle:05, par err:0.0333, best part err:0.0012, best swarm err:0.0012
epoch:018 ,particle:06, par err:0.0370, best part err:0.0149, best swarm err:0.0012
epoch:018 ,particle:07, par err:0.0083, best part err:0.0034, best swarm err:0.0012
epoch:018 ,particle:08, par err:0.0324, best part err:0.0059, best swarm err:0.0012
epoch:018 ,particle:09, par err:0.0267, best part err:0.0116, best swarm err:0.0012
epoch:018 ,particle:10, par err:0.0157, best part err:0.0058, best swarm err:0.0012
epoch:018 ,particle:11, par err:0.0245, best part err:0.0086, best swarm err:0.0012
epoch:018 ,particle:12, par err:0.0083, best part err:0.0068, best swarm err:0.0012
epoch:018 ,particle:13, par err:0.0205, best part err:0.0127, best swarm err:0.0012
epoch:018 ,particle:14, par err:0.0139, best part err:0.0062, best swarm err:0.0012
epoch:018 ,particle:15, par err:0.0066, best part err:0.0065, best swarm err:0.0012

-------------------------------------------------------------------------------------
epoch:019 ,particle:01, par err:0.0012, best part err:0.0012, best swarm err:0.0012
epoch:019 ,particle:02, par err:0.0558, best part err:0.0041, best swarm err:0.0012
epoch:019 ,particle:03, par err:0.0234, best part err:0.0071, best swarm err:0.0012
epoch:019 ,particle:04, par err:0.0207, best part err:0.0066, best swarm err:0.0012
epoch:019 ,particle:05, par err:0.0056, best part err:0.0012, best swarm err:0.0012
epoch:019 ,particle:06, par err:0.0242, best part err:0.0149, best swarm err:0.0012
epoch:019 ,particle:07, par err:0.0147, best part err:0.0034, best swarm err:0.0012
epoch:019 ,particle:08, par err:1.1945, best part err:0.0059, best swarm err:0.0012
epoch:019 ,particle:09, par err:0.0183, best part err:0.0116, best swarm err:0.0012
epoch:019 ,particle:10, par err:0.0073, best part err:0.0058, best swarm err:0.0012
epoch:019 ,particle:11, par err:0.0150, best part err:0.0086, best swarm err:0.0012
epoch:019 ,particle:12, par err:0.0455, best part err:0.0068, best swarm err:0.0012
epoch:019 ,particle:13, par err:0.0127, best part err:0.0127, best swarm err:0.0012
epoch:019 ,particle:14, par err:0.0189, best part err:0.0062, best swarm err:0.0012
epoch:019 ,particle:15, par err:0.0706, best part err:0.0065, best swarm err:0.0012

-------------------------------------------------------------------------------------
epoch:020 ,particle:01, par err:0.0029, best part err:0.0012, best swarm err:0.0012
epoch:020 ,particle:02, par err:0.0143, best part err:0.0041, best swarm err:0.0012
epoch:020 ,particle:03, par err:0.0336, best part err:0.0071, best swarm err:0.0012
epoch:020 ,particle:04, par err:0.0287, best part err:0.0066, best swarm err:0.0012
epoch:020 ,particle:05, par err:0.0014, best part err:0.0012, best swarm err:0.0012
epoch:020 ,particle:06, par err:0.0388, best part err:0.0149, best swarm err:0.0012
epoch:020 ,particle:07, par err:0.0116, best part err:0.0034, best swarm err:0.0012
epoch:020 ,particle:08, par err:0.0348, best part err:0.0059, best swarm err:0.0012
epoch:020 ,particle:09, par err:0.0455, best part err:0.0116, best swarm err:0.0012
epoch:020 ,particle:10, par err:0.0486, best part err:0.0058, best swarm err:0.0012
epoch:020 ,particle:11, par err:0.0364, best part err:0.0086, best swarm err:0.0012
epoch:020 ,particle:12, par err:0.0414, best part err:0.0068, best swarm err:0.0012
epoch:020 ,particle:13, par err:0.0549, best part err:0.0127, best swarm err:0.0012
epoch:020 ,particle:14, par err:0.0360, best part err:0.0062, best swarm err:0.0012
epoch:020 ,particle:15, par err:0.0394, best part err:0.0065, best swarm err:0.0012

-------------------------------------------------------------------------------------
epoch:021 ,particle:01, par err:0.0057, best part err:0.0012, best swarm err:0.0012
epoch:021 ,particle:02, par err:0.0153, best part err:0.0041, best swarm err:0.0012
epoch:021 ,particle:03, par err:0.0179, best part err:0.0071, best swarm err:0.0012
epoch:021 ,particle:04, par err:0.0266, best part err:0.0066, best swarm err:0.0012
epoch:021 ,particle:05, par err:0.0147, best part err:0.0012, best swarm err:0.0012
epoch:021 ,particle:06, par err:0.0261, best part err:0.0149, best swarm err:0.0012
epoch:021 ,particle:07, par err:0.0014, best part err:0.0014, best swarm err:0.0012
