Function:TanH
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 10, 8, 1]
epoch:005 ,particle:14, par err:0.6145, best part err:0.0151, best swarm err:0.0025
epoch:005 ,particle:15, par err:0.3341, best part err:0.0110, best swarm err:0.0025

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.3871, best part err:0.0087, best swarm err:0.0025
epoch:006 ,particle:02, par err:0.0871, best part err:0.0040, best swarm err:0.0025
epoch:006 ,particle:03, par err:2.3786, best part err:0.0161, best swarm err:0.0025
epoch:006 ,particle:04, par err:0.5611, best part err:0.0158, best swarm err:0.0025
epoch:006 ,particle:05, par err:0.0431, best part err:0.0025, best swarm err:0.0025
epoch:006 ,particle:06, par err:0.0371, best part err:0.0123, best swarm err:0.0025
epoch:006 ,particle:07, par err:2.1309, best part err:0.0133, best swarm err:0.0025
epoch:006 ,particle:08, par err:1.7781, best part err:0.0093, best swarm err:0.0025
epoch:006 ,particle:09, par err:2.1258, best part err:0.0096, best swarm err:0.0025
epoch:006 ,particle:10, par err:2.8777, best part err:0.0072, best swarm err:0.0025
epoch:006 ,particle:11, par err:2.9056, best part err:0.0131, best swarm err:0.0025
epoch:006 ,particle:12, par err:0.7970, best part err:0.0145, best swarm err:0.0025
epoch:006 ,particle:13, par err:0.1908, best part err:0.0072, best swarm err:0.0025
epoch:006 ,particle:14, par err:3.6048, best part err:0.0151, best swarm err:0.0025
epoch:006 ,particle:15, par err:1.0630, best part err:0.0110, best swarm err:0.0025

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.0288, best part err:0.0087, best swarm err:0.0025
epoch:007 ,particle:02, par err:0.0222, best part err:0.0040, best swarm err:0.0025
epoch:007 ,particle:03, par err:0.0290, best part err:0.0161, best swarm err:0.0025
epoch:007 ,particle:04, par err:0.0288, best part err:0.0158, best swarm err:0.0025
epoch:007 ,particle:05, par err:0.0284, best part err:0.0025, best swarm err:0.0025
epoch:007 ,particle:06, par err:0.0289, best part err:0.0123, best swarm err:0.0025
epoch:007 ,particle:07, par err:0.0289, best part err:0.0133, best swarm err:0.0025
epoch:007 ,particle:08, par err:0.0290, best part err:0.0093, best swarm err:0.0025
epoch:007 ,particle:09, par err:0.0289, best part err:0.0096, best swarm err:0.0025
epoch:007 ,particle:10, par err:0.0289, best part err:0.0072, best swarm err:0.0025
epoch:007 ,particle:11, par err:0.0290, best part err:0.0131, best swarm err:0.0025
epoch:007 ,particle:12, par err:0.0288, best part err:0.0145, best swarm err:0.0025
epoch:007 ,particle:13, par err:0.0290, best part err:0.0072, best swarm err:0.0025
epoch:007 ,particle:14, par err:0.0290, best part err:0.0151, best swarm err:0.0025
epoch:007 ,particle:15, par err:0.0289, best part err:0.0110, best swarm err:0.0025

-------------------------------------------------------------------------------------
epoch:008 ,particle:01, par err:0.0276, best part err:0.0087, best swarm err:0.0025
epoch:008 ,particle:02, par err:0.0060, best part err:0.0040, best swarm err:0.0025
epoch:008 ,particle:03, par err:0.0269, best part err:0.0161, best swarm err:0.0025
epoch:008 ,particle:04, par err:0.0169, best part err:0.0158, best swarm err:0.0025
epoch:008 ,particle:05, par err:0.0289, best part err:0.0025, best swarm err:0.0025
epoch:008 ,particle:06, par err:0.0278, best part err:0.0123, best swarm err:0.0025
epoch:008 ,particle:07, par err:0.0245, best part err:0.0133, best swarm err:0.0025
epoch:008 ,particle:08, par err:0.0288, best part err:0.0093, best swarm err:0.0025
epoch:008 ,particle:09, par err:0.0289, best part err:0.0096, best swarm err:0.0025
epoch:008 ,particle:10, par err:0.0289, best part err:0.0072, best swarm err:0.0025
epoch:008 ,particle:11, par err:0.0286, best part err:0.0131, best swarm err:0.0025
epoch:008 ,particle:12, par err:0.0041, best part err:0.0041, best swarm err:0.0025
epoch:008 ,particle:13, par err:0.0288, best part err:0.0072, best swarm err:0.0025
epoch:008 ,particle:14, par err:0.0288, best part err:0.0151, best swarm err:0.0025
epoch:008 ,particle:15, par err:0.0287, best part err:0.0110, best swarm err:0.0025

-------------------------------------------------------------------------------------
epoch:009 ,particle:01, par err:3.0506, best part err:0.0087, best swarm err:0.0025
epoch:009 ,particle:02, par err:0.0216, best part err:0.0040, best swarm err:0.0025
epoch:009 ,particle:03, par err:3.7154, best part err:0.0161, best swarm err:0.0025
epoch:009 ,particle:04, par err:3.3094, best part err:0.0158, best swarm err:0.0025
epoch:009 ,particle:05, par err:2.2416, best part err:0.0025, best swarm err:0.0025
epoch:009 ,particle:06, par err:3.1592, best part err:0.0123, best swarm err:0.0025
epoch:009 ,particle:07, par err:3.6739, best part err:0.0133, best swarm err:0.0025
epoch:009 ,particle:08, par err:3.7332, best part err:0.0093, best swarm err:0.0025
epoch:009 ,particle:09, par err:3.7305, best part err:0.0096, best swarm err:0.0025
epoch:009 ,particle:10, par err:3.6165, best part err:0.0072, best swarm err:0.0025
epoch:009 ,particle:11, par err:2.6835, best part err:0.0131, best swarm err:0.0025
epoch:009 ,particle:12, par err:2.2902, best part err:0.0041, best swarm err:0.0025
epoch:009 ,particle:13, par err:3.6508, best part err:0.0072, best swarm err:0.0025
epoch:009 ,particle:14, par err:3.7435, best part err:0.0151, best swarm err:0.0025
epoch:009 ,particle:15, par err:3.6996, best part err:0.0110, best swarm err:0.0025

-------------------------------------------------------------------------------------
epoch:010 ,particle:01, par err:1.8101, best part err:0.0087, best swarm err:0.0025
epoch:010 ,particle:02, par err:1.8845, best part err:0.0040, best swarm err:0.0025
epoch:010 ,particle:03, par err:0.0252, best part err:0.0161, best swarm err:0.0025
epoch:010 ,particle:04, par err:0.0030, best part err:0.0030, best swarm err:0.0025
epoch:010 ,particle:05, par err:0.1685, best part err:0.0025, best swarm err:0.0025
epoch:010 ,particle:06, par err:0.0068, best part err:0.0068, best swarm err:0.0025
epoch:010 ,particle:07, par err:1.6961, best part err:0.0133, best swarm err:0.0025
