Function:Sine
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 7, 7, 1]
epoch:004 ,particle:14, par err:0.1425, best part err:0.1011, best swarm err:0.0951
epoch:004 ,particle:15, par err:0.1375, best part err:0.0962, best swarm err:0.0951
epoch:004 ,particle:16, par err:0.1507, best part err:0.1005, best swarm err:0.0951
epoch:004 ,particle:17, par err:0.1341, best part err:0.0996, best swarm err:0.0951
epoch:004 ,particle:18, par err:0.1392, best part err:0.1392, best swarm err:0.0951
epoch:004 ,particle:19, par err:0.1209, best part err:0.1209, best swarm err:0.0951
epoch:004 ,particle:20, par err:0.1470, best part err:0.0962, best swarm err:0.0951

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.2425, best part err:0.1086, best swarm err:0.0951
epoch:005 ,particle:02, par err:0.1404, best part err:0.1297, best swarm err:0.0951
epoch:005 ,particle:03, par err:0.2979, best part err:0.0965, best swarm err:0.0951
epoch:005 ,particle:04, par err:0.4033, best part err:0.1118, best swarm err:0.0951
epoch:005 ,particle:05, par err:0.3059, best part err:0.1012, best swarm err:0.0951
epoch:005 ,particle:06, par err:0.3113, best part err:0.0951, best swarm err:0.0951
epoch:005 ,particle:07, par err:0.3829, best part err:0.0951, best swarm err:0.0951
epoch:005 ,particle:08, par err:0.2915, best part err:0.1056, best swarm err:0.0951
epoch:005 ,particle:09, par err:0.3262, best part err:0.1281, best swarm err:0.0951
epoch:005 ,particle:10, par err:0.3348, best part err:0.0994, best swarm err:0.0951
epoch:005 ,particle:11, par err:0.2445, best part err:0.1001, best swarm err:0.0951
epoch:005 ,particle:12, par err:0.4886, best part err:0.1212, best swarm err:0.0951
epoch:005 ,particle:13, par err:0.3934, best part err:0.0968, best swarm err:0.0951
epoch:005 ,particle:14, par err:0.4128, best part err:0.1011, best swarm err:0.0951
epoch:005 ,particle:15, par err:0.4322, best part err:0.0962, best swarm err:0.0951
epoch:005 ,particle:16, par err:0.3056, best part err:0.1005, best swarm err:0.0951
epoch:005 ,particle:17, par err:0.4635, best part err:0.0996, best swarm err:0.0951
epoch:005 ,particle:18, par err:0.1323, best part err:0.1323, best swarm err:0.0951
epoch:005 ,particle:19, par err:0.1450, best part err:0.1209, best swarm err:0.0951
epoch:005 ,particle:20, par err:0.2099, best part err:0.0962, best swarm err:0.0951

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.1272, best part err:0.1086, best swarm err:0.0951
epoch:006 ,particle:02, par err:0.3434, best part err:0.1297, best swarm err:0.0951
epoch:006 ,particle:03, par err:0.1352, best part err:0.0965, best swarm err:0.0951
epoch:006 ,particle:04, par err:0.1216, best part err:0.1118, best swarm err:0.0951
epoch:006 ,particle:05, par err:0.1138, best part err:0.1012, best swarm err:0.0951
epoch:006 ,particle:06, par err:0.1361, best part err:0.0951, best swarm err:0.0951
epoch:006 ,particle:07, par err:0.1208, best part err:0.0951, best swarm err:0.0951
epoch:006 ,particle:08, par err:0.1192, best part err:0.1056, best swarm err:0.0951
epoch:006 ,particle:09, par err:0.1139, best part err:0.1139, best swarm err:0.0951
epoch:006 ,particle:10, par err:0.1314, best part err:0.0994, best swarm err:0.0951
epoch:006 ,particle:11, par err:0.1224, best part err:0.1001, best swarm err:0.0951
epoch:006 ,particle:12, par err:0.1357, best part err:0.1212, best swarm err:0.0951
epoch:006 ,particle:13, par err:0.1377, best part err:0.0968, best swarm err:0.0951
epoch:006 ,particle:14, par err:0.1197, best part err:0.1011, best swarm err:0.0951
epoch:006 ,particle:15, par err:0.1346, best part err:0.0962, best swarm err:0.0951
epoch:006 ,particle:16, par err:0.1256, best part err:0.1005, best swarm err:0.0951
epoch:006 ,particle:17, par err:0.1261, best part err:0.0996, best swarm err:0.0951
epoch:006 ,particle:18, par err:0.1223, best part err:0.1223, best swarm err:0.0951
epoch:006 ,particle:19, par err:0.3363, best part err:0.1209, best swarm err:0.0951
