Function:XOR
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [2, 8, 5, 1]
epoch:003 ,particle:15, par err:2.2219, best part err:0.5114, best swarm err:0.1304
epoch:003 ,particle:16, par err:0.2196, best part err:0.2196, best swarm err:0.1304
epoch:003 ,particle:17, par err:0.1915, best part err:0.1915, best swarm err:0.1304
epoch:003 ,particle:18, par err:1.0558, best part err:0.4926, best swarm err:0.1304
epoch:003 ,particle:19, par err:1.2361, best part err:0.4838, best swarm err:0.1304
epoch:003 ,particle:20, par err:0.2058, best part err:0.2058, best swarm err:0.1304
epoch:003 ,particle:21, par err:0.2033, best part err:0.2033, best swarm err:0.1304
epoch:003 ,particle:22, par err:0.2261, best part err:0.2261, best swarm err:0.1304
epoch:003 ,particle:23, par err:0.2413, best part err:0.2413, best swarm err:0.1304
epoch:003 ,particle:24, par err:0.2425, best part err:0.2425, best swarm err:0.1304
epoch:003 ,particle:25, par err:0.2469, best part err:0.2469, best swarm err:0.1304
epoch:003 ,particle:26, par err:0.2191, best part err:0.2191, best swarm err:0.1304
epoch:003 ,particle:27, par err:0.1304, best part err:0.1304, best swarm err:0.1304
epoch:003 ,particle:28, par err:0.2092, best part err:0.2092, best swarm err:0.1304
epoch:003 ,particle:29, par err:0.1985, best part err:0.1985, best swarm err:0.1304
epoch:003 ,particle:30, par err:0.2292, best part err:0.2292, best swarm err:0.1304

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:1.2490, best part err:0.5031, best swarm err:0.1280
epoch:004 ,particle:02, par err:0.1280, best part err:0.1280, best swarm err:0.1280
epoch:004 ,particle:03, par err:1.2496, best part err:0.4963, best swarm err:0.1280
epoch:004 ,particle:04, par err:2.2477, best part err:0.5133, best swarm err:0.1280
epoch:004 ,particle:05, par err:0.4862, best part err:0.2379, best swarm err:0.1280
epoch:004 ,particle:06, par err:1.0899, best part err:0.1673, best swarm err:0.1280
epoch:004 ,particle:07, par err:0.1960, best part err:0.1764, best swarm err:0.1280
epoch:004 ,particle:08, par err:1.3166, best part err:0.4920, best swarm err:0.1280
epoch:004 ,particle:09, par err:0.4425, best part err:0.4425, best swarm err:0.1280
epoch:004 ,particle:10, par err:1.2500, best part err:0.5164, best swarm err:0.1280
epoch:004 ,particle:11, par err:1.2495, best part err:0.2416, best swarm err:0.1280
epoch:004 ,particle:12, par err:0.8503, best part err:0.2302, best swarm err:0.1280
epoch:004 ,particle:13, par err:1.0660, best part err:0.2305, best swarm err:0.1280
epoch:004 ,particle:14, par err:0.1888, best part err:0.1694, best swarm err:0.1280
epoch:004 ,particle:15, par err:0.9648, best part err:0.5114, best swarm err:0.1280
epoch:004 ,particle:16, par err:0.9864, best part err:0.2196, best swarm err:0.1280
epoch:004 ,particle:17, par err:0.2574, best part err:0.1915, best swarm err:0.1280
epoch:004 ,particle:18, par err:0.6704, best part err:0.4926, best swarm err:0.1280
epoch:004 ,particle:19, par err:1.2500, best part err:0.4838, best swarm err:0.1280
epoch:004 ,particle:20, par err:1.0310, best part err:0.2058, best swarm err:0.1280
epoch:004 ,particle:21, par err:0.7326, best part err:0.2033, best swarm err:0.1280
