Function:Linear
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 7, 7, 1]
epoch:004 ,particle:04, par err:0.0917, best part err:0.0088, best swarm err:0.0088
epoch:004 ,particle:05, par err:0.1441, best part err:0.0931, best swarm err:0.0088
epoch:004 ,particle:06, par err:0.0914, best part err:0.0515, best swarm err:0.0088
epoch:004 ,particle:07, par err:0.0464, best part err:0.0464, best swarm err:0.0088
epoch:004 ,particle:08, par err:0.1277, best part err:0.0353, best swarm err:0.0088
epoch:004 ,particle:09, par err:0.1149, best part err:0.0365, best swarm err:0.0088
epoch:004 ,particle:10, par err:0.0326, best part err:0.0326, best swarm err:0.0088
epoch:004 ,particle:11, par err:0.3629, best part err:0.3251, best swarm err:0.0088
epoch:004 ,particle:12, par err:0.0913, best part err:0.0701, best swarm err:0.0088
epoch:004 ,particle:13, par err:0.0245, best part err:0.0245, best swarm err:0.0088
epoch:004 ,particle:14, par err:0.1413, best part err:0.0626, best swarm err:0.0088
epoch:004 ,particle:15, par err:0.0961, best part err:0.0689, best swarm err:0.0088
epoch:004 ,particle:16, par err:0.1017, best part err:0.0124, best swarm err:0.0088
epoch:004 ,particle:17, par err:0.1029, best part err:0.0201, best swarm err:0.0088
epoch:004 ,particle:18, par err:0.1107, best part err:0.0525, best swarm err:0.0088
epoch:004 ,particle:19, par err:0.1125, best part err:0.0144, best swarm err:0.0088
epoch:004 ,particle:20, par err:0.1502, best part err:0.0341, best swarm err:0.0088

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.7092, best part err:0.0395, best swarm err:0.0088
epoch:005 ,particle:02, par err:0.2595, best part err:0.2595, best swarm err:0.0088
epoch:005 ,particle:03, par err:0.0354, best part err:0.0354, best swarm err:0.0088
epoch:005 ,particle:04, par err:0.3767, best part err:0.0088, best swarm err:0.0088
epoch:005 ,particle:05, par err:0.2801, best part err:0.0931, best swarm err:0.0088
epoch:005 ,particle:06, par err:0.2772, best part err:0.0515, best swarm err:0.0088
epoch:005 ,particle:07, par err:0.0303, best part err:0.0303, best swarm err:0.0088
epoch:005 ,particle:08, par err:0.3489, best part err:0.0353, best swarm err:0.0088
epoch:005 ,particle:09, par err:0.2703, best part err:0.0365, best swarm err:0.0088
epoch:005 ,particle:10, par err:0.9640, best part err:0.0326, best swarm err:0.0088
epoch:005 ,particle:11, par err:0.2599, best part err:0.2599, best swarm err:0.0088
epoch:005 ,particle:12, par err:0.0999, best part err:0.0701, best swarm err:0.0088
epoch:005 ,particle:13, par err:0.0978, best part err:0.0245, best swarm err:0.0088
epoch:005 ,particle:14, par err:0.1449, best part err:0.0626, best swarm err:0.0088
epoch:005 ,particle:15, par err:0.3974, best part err:0.0689, best swarm err:0.0088
epoch:005 ,particle:16, par err:0.3901, best part err:0.0124, best swarm err:0.0088
epoch:005 ,particle:17, par err:0.3009, best part err:0.0201, best swarm err:0.0088
epoch:005 ,particle:18, par err:0.2393, best part err:0.0525, best swarm err:0.0088
epoch:005 ,particle:19, par err:0.2806, best part err:0.0144, best swarm err:0.0088
epoch:005 ,particle:20, par err:0.3310, best part err:0.0341, best swarm err:0.0088

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.1654, best part err:0.0395, best swarm err:0.0088
epoch:006 ,particle:02, par err:0.0459, best part err:0.0459, best swarm err:0.0088
epoch:006 ,particle:03, par err:0.2102, best part err:0.0354, best swarm err:0.0088
epoch:006 ,particle:04, par err:0.0690, best part err:0.0088, best swarm err:0.0088
epoch:006 ,particle:05, par err:0.1774, best part err:0.0931, best swarm err:0.0088
epoch:006 ,particle:06, par err:0.1464, best part err:0.0515, best swarm err:0.0088
epoch:006 ,particle:07, par err:0.1689, best part err:0.0303, best swarm err:0.0088
epoch:006 ,particle:08, par err:0.0596, best part err:0.0353, best swarm err:0.0088
epoch:006 ,particle:09, par err:0.1393, best part err:0.0365, best swarm err:0.0088
epoch:006 ,particle:10, par err:0.1071, best part err:0.0326, best swarm err:0.0088
epoch:006 ,particle:11, par err:0.0321, best part err:0.0321, best swarm err:0.0088
epoch:006 ,particle:12, par err:0.1344, best part err:0.0701, best swarm err:0.0088
epoch:006 ,particle:13, par err:0.5228, best part err:0.0245, best swarm err:0.0088
epoch:006 ,particle:14, par err:0.1794, best part err:0.0626, best swarm err:0.0088
epoch:006 ,particle:15, par err:0.1679, best part err:0.0689, best swarm err:0.0088
epoch:006 ,particle:16, par err:0.0914, best part err:0.0124, best swarm err:0.0088
epoch:006 ,particle:17, par err:0.1032, best part err:0.0201, best swarm err:0.0088
epoch:006 ,particle:18, par err:0.1532, best part err:0.0525, best swarm err:0.0088
epoch:006 ,particle:19, par err:0.1167, best part err:0.0144, best swarm err:0.0088
epoch:006 ,particle:20, par err:0.1407, best part err:0.0341, best swarm err:0.0088

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.4975, best part err:0.0395, best swarm err:0.0088
epoch:007 ,particle:02, par err:0.1553, best part err:0.0459, best swarm err:0.0088
epoch:007 ,particle:03, par err:0.0358, best part err:0.0354, best swarm err:0.0088
epoch:007 ,particle:04, par err:0.0097, best part err:0.0088, best swarm err:0.0088
epoch:007 ,particle:05, par err:0.0138, best part err:0.0138, best swarm err:0.0088
epoch:007 ,particle:06, par err:0.0117, best part err:0.0117, best swarm err:0.0088
epoch:007 ,particle:07, par err:0.0382, best part err:0.0303, best swarm err:0.0088
epoch:007 ,particle:08, par err:0.0093, best part err:0.0093, best swarm err:0.0088
epoch:007 ,particle:09, par err:0.0118, best part err:0.0118, best swarm err:0.0088
epoch:007 ,particle:10, par err:0.9725, best part err:0.0326, best swarm err:0.0088
epoch:007 ,particle:11, par err:0.1465, best part err:0.0321, best swarm err:0.0088
epoch:007 ,particle:12, par err:0.0109, best part err:0.0109, best swarm err:0.0088
epoch:007 ,particle:13, par err:0.1595, best part err:0.0245, best swarm err:0.0088
epoch:007 ,particle:14, par err:0.0143, best part err:0.0143, best swarm err:0.0088
epoch:007 ,particle:15, par err:0.0128, best part err:0.0128, best swarm err:0.0088
epoch:007 ,particle:16, par err:0.0104, best part err:0.0104, best swarm err:0.0088
epoch:007 ,particle:17, par err:0.0106, best part err:0.0106, best swarm err:0.0088
epoch:007 ,particle:18, par err:0.0121, best part err:0.0121, best swarm err:0.0088
epoch:007 ,particle:19, par err:0.0104, best part err:0.0104, best swarm err:0.0088
epoch:007 ,particle:20, par err:0.0127, best part err:0.0127, best swarm err:0.0088

-------------------------------------------------------------------------------------
epoch:008 ,particle:01, par err:0.0153, best part err:0.0153, best swarm err:0.0088
epoch:008 ,particle:02, par err:0.2641, best part err:0.0459, best swarm err:0.0088
epoch:008 ,particle:03, par err:0.1178, best part err:0.0354, best swarm err:0.0088
epoch:008 ,particle:04, par err:0.2442, best part err:0.0088, best swarm err:0.0088
epoch:008 ,particle:05, par err:0.2575, best part err:0.0138, best swarm err:0.0088
epoch:008 ,particle:06, par err:0.2525, best part err:0.0117, best swarm err:0.0088
epoch:008 ,particle:07, par err:0.1304, best part err:0.0303, best swarm err:0.0088
epoch:008 ,particle:08, par err:0.0984, best part err:0.0093, best swarm err:0.0088
epoch:008 ,particle:09, par err:0.3186, best part err:0.0118, best swarm err:0.0088
epoch:008 ,particle:10, par err:0.0143, best part err:0.0143, best swarm err:0.0088
epoch:008 ,particle:11, par err:0.2662, best part err:0.0321, best swarm err:0.0088
epoch:008 ,particle:12, par err:0.2678, best part err:0.0109, best swarm err:0.0088
epoch:008 ,particle:13, par err:0.0122, best part err:0.0122, best swarm err:0.0088
epoch:008 ,particle:14, par err:0.3102, best part err:0.0143, best swarm err:0.0088
epoch:008 ,particle:15, par err:0.3071, best part err:0.0128, best swarm err:0.0088
epoch:008 ,particle:16, par err:0.2765, best part err:0.0104, best swarm err:0.0088
epoch:008 ,particle:17, par err:0.1972, best part err:0.0106, best swarm err:0.0088
epoch:008 ,particle:18, par err:0.2290, best part err:0.0121, best swarm err:0.0088
epoch:008 ,particle:19, par err:0.1731, best part err:0.0104, best swarm err:0.0088
epoch:008 ,particle:20, par err:0.2852, best part err:0.0127, best swarm err:0.0088

-------------------------------------------------------------------------------------
epoch:009 ,particle:01, par err:0.0293, best part err:0.0153, best swarm err:0.0088
epoch:009 ,particle:02, par err:0.1687, best part err:0.0459, best swarm err:0.0088
epoch:009 ,particle:03, par err:0.0172, best part err:0.0172, best swarm err:0.0088
epoch:009 ,particle:04, par err:0.0956, best part err:0.0088, best swarm err:0.0088
epoch:009 ,particle:05, par err:0.2099, best part err:0.0138, best swarm err:0.0088
epoch:009 ,particle:06, par err:0.1784, best part err:0.0117, best swarm err:0.0088
epoch:009 ,particle:07, par err:0.0154, best part err:0.0154, best swarm err:0.0088
epoch:009 ,particle:08, par err:0.0806, best part err:0.0093, best swarm err:0.0088
epoch:009 ,particle:09, par err:0.1693, best part err:0.0118, best swarm err:0.0088
epoch:009 ,particle:10, par err:0.1058, best part err:0.0143, best swarm err:0.0088
epoch:009 ,particle:11, par err:0.1531, best part err:0.0321, best swarm err:0.0088
epoch:009 ,particle:12, par err:0.1654, best part err:0.0109, best swarm err:0.0088
epoch:009 ,particle:13, par err:0.2608, best part err:0.0122, best swarm err:0.0088
epoch:009 ,particle:14, par err:0.2112, best part err:0.0143, best swarm err:0.0088
epoch:009 ,particle:15, par err:0.1994, best part err:0.0128, best swarm err:0.0088
epoch:009 ,particle:16, par err:0.1149, best part err:0.0104, best swarm err:0.0088
epoch:009 ,particle:17, par err:0.1302, best part err:0.0106, best swarm err:0.0088
epoch:009 ,particle:18, par err:0.1863, best part err:0.0121, best swarm err:0.0088
epoch:009 ,particle:19, par err:0.1476, best part err:0.0104, best swarm err:0.0088
epoch:009 ,particle:20, par err:0.1721, best part err:0.0127, best swarm err:0.0088

-------------------------------------------------------------------------------------
