Function:Linear
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [1, 7, 7, 1]
epoch:016 ,particle:18, par err:0.1550, best part err:0.0121, best swarm err:0.0073
epoch:016 ,particle:19, par err:0.1164, best part err:0.0104, best swarm err:0.0073
epoch:016 ,particle:20, par err:0.1699, best part err:0.0127, best swarm err:0.0073

-------------------------------------------------------------------------------------
epoch:017 ,particle:01, par err:0.3978, best part err:0.0089, best swarm err:0.0073
epoch:017 ,particle:02, par err:0.0578, best part err:0.0092, best swarm err:0.0073
epoch:017 ,particle:03, par err:0.0076, best part err:0.0076, best swarm err:0.0073
epoch:017 ,particle:04, par err:0.0647, best part err:0.0088, best swarm err:0.0073
epoch:017 ,particle:05, par err:0.1495, best part err:0.0138, best swarm err:0.0073
epoch:017 ,particle:06, par err:0.1232, best part err:0.0117, best swarm err:0.0073
epoch:017 ,particle:07, par err:0.0076, best part err:0.0073, best swarm err:0.0073
epoch:017 ,particle:08, par err:0.0563, best part err:0.0093, best swarm err:0.0073
