Function:XOR
ANN Hyperparameters: activation function Hyperbolic Tangent, layer arch [2, 7, 1]
epoch:005 ,particle:14, par err:0.2456, best part err:0.2456, best swarm err:0.0924
epoch:005 ,particle:15, par err:0.2105, best part err:0.2105, best swarm err:0.0924

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.9885, best part err:0.2412, best swarm err:0.0748
epoch:006 ,particle:02, par err:0.9782, best part err:0.1914, best swarm err:0.0748
epoch:006 ,particle:03, par err:0.1409, best part err:0.1409, best swarm err:0.0748
epoch:006 ,particle:04, par err:0.1426, best part err:0.1426, best swarm err:0.0748
epoch:006 ,particle:05, par err:0.1868, best part err:0.1868, best swarm err:0.0748
epoch:006 ,particle:06, par err:1.0520, best part err:0.2453, best swarm err:0.0748
epoch:006 ,particle:07, par err:1.2314, best part err:0.2427, best swarm err:0.0748
epoch:006 ,particle:08, par err:0.2358, best part err:0.2358, best swarm err:0.0748
epoch:006 ,particle:09, par err:0.8925, best part err:0.0924, best swarm err:0.0748
epoch:006 ,particle:10, par err:0.3713, best part err:0.2475, best swarm err:0.0748
epoch:006 ,particle:11, par err:1.0296, best part err:0.1953, best swarm err:0.0748
epoch:006 ,particle:12, par err:1.1403, best part err:0.2185, best swarm err:0.0748
epoch:006 ,particle:13, par err:0.0748, best part err:0.0748, best swarm err:0.0748
epoch:006 ,particle:14, par err:1.0242, best part err:0.2456, best swarm err:0.0748
epoch:006 ,particle:15, par err:1.1315, best part err:0.2105, best swarm err:0.0748

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.2687, best part err:0.2412, best swarm err:0.0748
epoch:007 ,particle:02, par err:0.2577, best part err:0.1914, best swarm err:0.0748
epoch:007 ,particle:03, par err:0.0852, best part err:0.0852, best swarm err:0.0748
epoch:007 ,particle:04, par err:0.1102, best part err:0.1102, best swarm err:0.0748
epoch:007 ,particle:05, par err:0.4590, best part err:0.1868, best swarm err:0.0748
epoch:007 ,particle:06, par err:0.2631, best part err:0.2453, best swarm err:0.0748
epoch:007 ,particle:07, par err:0.2512, best part err:0.2427, best swarm err:0.0748
epoch:007 ,particle:08, par err:0.1658, best part err:0.1658, best swarm err:0.0748
epoch:007 ,particle:09, par err:0.2549, best part err:0.0924, best swarm err:0.0748
epoch:007 ,particle:10, par err:0.2497, best part err:0.2475, best swarm err:0.0748
epoch:007 ,particle:11, par err:0.2593, best part err:0.1953, best swarm err:0.0748
epoch:007 ,particle:12, par err:0.2706, best part err:0.2185, best swarm err:0.0748
epoch:007 ,particle:13, par err:0.1868, best part err:0.0748, best swarm err:0.0748
epoch:007 ,particle:14, par err:0.2508, best part err:0.2456, best swarm err:0.0748
epoch:007 ,particle:15, par err:0.2607, best part err:0.2105, best swarm err:0.0748

-------------------------------------------------------------------------------------
epoch:008 ,particle:01, par err:0.4944, best part err:0.2412, best swarm err:0.0701
epoch:008 ,particle:02, par err:0.7530, best part err:0.1914, best swarm err:0.0701
epoch:008 ,particle:03, par err:0.1602, best part err:0.0852, best swarm err:0.0701
epoch:008 ,particle:04, par err:0.0701, best part err:0.0701, best swarm err:0.0701
epoch:008 ,particle:05, par err:0.2576, best part err:0.1868, best swarm err:0.0701
epoch:008 ,particle:06, par err:0.7005, best part err:0.2453, best swarm err:0.0701
epoch:008 ,particle:07, par err:0.9096, best part err:0.2427, best swarm err:0.0701
epoch:008 ,particle:08, par err:0.2428, best part err:0.1658, best swarm err:0.0701
epoch:008 ,particle:09, par err:0.8849, best part err:0.0924, best swarm err:0.0701
epoch:008 ,particle:10, par err:0.1212, best part err:0.1212, best swarm err:0.0701
epoch:008 ,particle:11, par err:1.0051, best part err:0.1953, best swarm err:0.0701
epoch:008 ,particle:12, par err:0.8408, best part err:0.2185, best swarm err:0.0701
epoch:008 ,particle:13, par err:0.6039, best part err:0.0748, best swarm err:0.0701
epoch:008 ,particle:14, par err:0.7782, best part err:0.2456, best swarm err:0.0701
epoch:008 ,particle:15, par err:0.8207, best part err:0.2105, best swarm err:0.0701

-------------------------------------------------------------------------------------
epoch:009 ,particle:01, par err:0.1479, best part err:0.1479, best swarm err:0.0407
epoch:009 ,particle:02, par err:0.1665, best part err:0.1665, best swarm err:0.0407
epoch:009 ,particle:03, par err:0.0407, best part err:0.0407, best swarm err:0.0407
epoch:009 ,particle:04, par err:0.6173, best part err:0.0701, best swarm err:0.0407
epoch:009 ,particle:05, par err:0.3581, best part err:0.1868, best swarm err:0.0407
epoch:009 ,particle:06, par err:0.1553, best part err:0.1553, best swarm err:0.0407
epoch:009 ,particle:07, par err:0.1913, best part err:0.1913, best swarm err:0.0407
epoch:009 ,particle:08, par err:0.2350, best part err:0.1658, best swarm err:0.0407
epoch:009 ,particle:09, par err:0.1642, best part err:0.0924, best swarm err:0.0407
epoch:009 ,particle:10, par err:1.2683, best part err:0.1212, best swarm err:0.0407
epoch:009 ,particle:11, par err:0.1926, best part err:0.1926, best swarm err:0.0407
epoch:009 ,particle:12, par err:0.1796, best part err:0.1796, best swarm err:0.0407
epoch:009 ,particle:13, par err:0.1644, best part err:0.0748, best swarm err:0.0407
epoch:009 ,particle:14, par err:0.1611, best part err:0.1611, best swarm err:0.0407
epoch:009 ,particle:15, par err:0.1804, best part err:0.1804, best swarm err:0.0407

-------------------------------------------------------------------------------------
epoch:010 ,particle:01, par err:0.1124, best part err:0.1124, best swarm err:0.0407
epoch:010 ,particle:02, par err:0.1785, best part err:0.1665, best swarm err:0.0407
epoch:010 ,particle:03, par err:0.5529, best part err:0.0407, best swarm err:0.0407
epoch:010 ,particle:04, par err:0.8887, best part err:0.0701, best swarm err:0.0407
epoch:010 ,particle:05, par err:0.6695, best part err:0.1868, best swarm err:0.0407
epoch:010 ,particle:06, par err:0.0985, best part err:0.0985, best swarm err:0.0407
epoch:010 ,particle:07, par err:0.1553, best part err:0.1553, best swarm err:0.0407
epoch:010 ,particle:08, par err:0.6327, best part err:0.1658, best swarm err:0.0407
epoch:010 ,particle:09, par err:0.3373, best part err:0.0924, best swarm err:0.0407
epoch:010 ,particle:10, par err:0.2509, best part err:0.1212, best swarm err:0.0407
epoch:010 ,particle:11, par err:0.1955, best part err:0.1926, best swarm err:0.0407
epoch:010 ,particle:12, par err:0.1891, best part err:0.1796, best swarm err:0.0407
epoch:010 ,particle:13, par err:0.5584, best part err:0.0748, best swarm err:0.0407
epoch:010 ,particle:14, par err:0.1194, best part err:0.1194, best swarm err:0.0407
epoch:010 ,particle:15, par err:0.1942, best part err:0.1804, best swarm err:0.0407

-------------------------------------------------------------------------------------
epoch:011 ,particle:01, par err:0.4439, best part err:0.1124, best swarm err:0.0407
epoch:011 ,particle:02, par err:1.1436, best part err:0.1665, best swarm err:0.0407
epoch:011 ,particle:03, par err:0.2962, best part err:0.0407, best swarm err:0.0407
epoch:011 ,particle:04, par err:0.9272, best part err:0.0701, best swarm err:0.0407
epoch:011 ,particle:05, par err:0.3887, best part err:0.1868, best swarm err:0.0407
epoch:011 ,particle:06, par err:0.4482, best part err:0.0985, best swarm err:0.0407
epoch:011 ,particle:07, par err:0.4346, best part err:0.1553, best swarm err:0.0407
epoch:011 ,particle:08, par err:0.3210, best part err:0.1658, best swarm err:0.0407
epoch:011 ,particle:09, par err:1.2199, best part err:0.0924, best swarm err:0.0407
epoch:011 ,particle:10, par err:1.2060, best part err:0.1212, best swarm err:0.0407
epoch:011 ,particle:11, par err:1.2117, best part err:0.1926, best swarm err:0.0407
epoch:011 ,particle:12, par err:1.1771, best part err:0.1796, best swarm err:0.0407
epoch:011 ,particle:13, par err:0.6377, best part err:0.0748, best swarm err:0.0407
epoch:011 ,particle:14, par err:0.4553, best part err:0.1194, best swarm err:0.0407
